host,fqdn,ip_address,mac_address,os,location,owner_team,criticality,Comment,Expires
JUMP-273,JUMP-273.corp.local,10.193.77.228,0b:5d:91:09:13:2a,Windows 10 Enterprise,Branch-Sydney,DevOps,critical,Load balancer,
SAN-516,SAN-516.lab.internal,10.72.182.127,1c:9a:60:d6:ea:fc,VMware ESXi 8.0,HQ-Floor5,Facilities,medium,VPN concentrator,
SIEM-359,SIEM-359.hq.local,10.244.191.50,af:ca:61:90:70:45,Windows Server 2019,HQ-Floor3,Security-Eng,critical,Build server,
ESX-628,ESX-628.dev.internal,10.222.140.28,2b:6e:be:aa:e5:83,Windows Server 2022,DC-East,Server-Team,medium,Database server,
DB-956,DB-956.prod.internal,10.189.159.65,98:bc:03:fe:09:58,macOS Ventura,Lab-B2,IT-Infra,high,Executive workstation,
KIOSK-922,KIOSK-922.dev.internal,10.223.133.200,2d:74:f9:6d:ea:74,Ubuntu 22.04,Lab-B2,Security-Eng,medium,Database server,
SCAN-164,SCAN-164.lab.internal,10.43.255.163,46:76:92:f3:f7:e7,CentOS 8,Branch-London,SOC,critical,IoT sensor gateway,2026-10-09
WKSTN-961,WKSTN-961.dmz.local,10.225.243.163,1c:fa:7c:a2:fc:d6,Windows Server 2019,Branch-Tokyo,Server-Team,high,Shared workstation in lab,
POS-970,POS-970.corp.local,10.107.112.103,34:0e:61:80:c2:b4,macOS Ventura,DC-West,Cloud-Ops,critical,Build server,
DB-145,DB-145.hq.local,10.240.178.197,72:3b:83:a2:a6:0d,VMware ESXi 8.0,DC-East,Network-Team,high,POS terminal in retail area,2026-11-16
POS-103,POS-103.dev.internal,10.215.123.2,ac:7a:22:4f:17:c7,RHEL 9,DC-East,Security-Eng,critical,Web application server,2026-06-20
SCAN-763,SCAN-763.dmz.local,10.22.89.165,ea:a7:bf:f0:c7:55,RHEL 9,DC-East,SOC,high,Approved standard workstation,
ESX-602,ESX-602.lab.internal,10.4.254.139,58:9a:76:a6:64:06,macOS Ventura,HQ-Floor3,Network-Team,high,Approved standard workstation,
JUMP-201,JUMP-201.dev.internal,10.88.180.153,89:c1:68:12:f4:08,Windows Server 2022,Branch-Tokyo,IT-Infra,low,Shared workstation in lab,
VPN-625,VPN-625.hq.local,10.14.76.137,71:40:a6:d2:2a:46,Windows Server 2022,Branch-Tokyo,Desktop-Support,low,Conference room device,
CAM-541,CAM-541.dmz.local,10.169.100.192,5b:ed:75:49:62:1c,RHEL 9,Lab-B2,Server-Team,critical,Conference room device,2026-11-18
LB-817,LB-817.dmz.local,10.128.228.211,e2:4c:e5:7d:83:82,Ubuntu 22.04,DC-East,NetOps,critical,Kiosk device in lobby,
SRV-416,SRV-416.lab.internal,10.12.32.16,7d:0a:0b:77:ed:1f,Windows Server 2022,DC-West,IT-Infra,high,Test environment host,2026-08-13
APP-174,APP-174.prod.internal,10.243.228.97,00:4f:76:85:ec:b6,Windows 11 Enterprise,Remote-VPN,NetOps,low,Build server,
DB-046,DB-046.dmz.local,10.108.48.67,6f:14:6f:e7:ab:7b,Windows Server 2022,Branch-Sydney,Desktop-Support,critical,File server,
MAIL-641,MAIL-641.hq.local,10.23.82.213,7d:d2:2a:21:b0:05,RHEL 9,DC-East,DevOps,high,Build server,
PRINT-199,PRINT-199.corp.local,10.149.27.12,81:b4:4e:34:54:6f,Windows Server 2019,HQ-Floor3,SOC,critical,Legacy system pending decommission,2026-07-03
DB-242,DB-242.dmz.local,10.81.94.212,c6:3d:88:3e:8a:15,Windows Server 2019,Branch-London,SOC,high,IoT sensor gateway,
IOT-829,IOT-829.lab.internal,10.27.62.115,ac:65:67:61:c1:9e,Ubuntu 22.04,HQ-Floor3,Server-Team,medium,Print server,
KIOSK-787,KIOSK-787.dmz.local,10.28.5.33,e0:08:d6:b5:0d:db,RHEL 9,Branch-London,Security-Eng,low,Domain controller,2026-07-07
ESX-623,ESX-623.lab.internal,10.1.239.16,d8:f1:64:2e:87:ec,Windows Server 2022,HQ-Floor5,NetOps,medium,Domain controller,
FW-516,FW-516.hq.local,10.241.99.137,93:65:fb:e0:a7:48,Windows 10 Enterprise,Lab-B2,NetOps,medium,Security camera NVR,
DC-378,DC-378.corp.local,10.151.109.48,9a:80:25:45:e3:71,RHEL 9,DC-East,Desktop-Support,critical,Web application server,2026-09-09
PRINT-626,PRINT-626.prod.internal,10.146.154.29,8c:b7:0a:8d:80:56,Windows Server 2022,Branch-Sydney,Facilities,low,Executive workstation,
DB-290,DB-290.prod.internal,10.191.209.249,18:df:6e:3e:6b:16,macOS Ventura,DC-East,Desktop-Support,high,Executive workstation,
VPN-150,VPN-150.lab.internal,10.248.38.154,90:d8:f5:42:22:91,RHEL 9,Branch-Tokyo,Network-Team,low,VPN concentrator,
DB-551,DB-551.dev.internal,10.107.158.30,22:31:73:58:ad:36,VMware ESXi 8.0,HQ-Floor3,Security-Eng,high,Legacy system pending decommission,
FW-150,FW-150.dev.internal,10.247.35.135,d1:77:59:04:da:11,macOS Ventura,Branch-London,Cloud-Ops,critical,Build server,
NAS-497,NAS-497.lab.internal,10.111.1.180,dd:53:f8:24:59:08,VMware ESXi 8.0,Branch-London,SOC,medium,Backup target device,
